Data Point,Date Time,Test Time (s),Step Time (s),Cycle Index,Step Index,Current (A),Voltage (V),Power (W),Charge Capacity (Ah),Discharge Capacity (Ah),Charge Energy (Wh),Discharge Energy (Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal Resistance (Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah)
6618,	05/13/2026 17:29:40.444,6612.8122,19.0002,1,3,-1.6998,3.9638,-6.7376,0.6514,0.5338,2.7207,2.1355,0.5338,0.0000,,,,,
6619,	05/13/2026 17:29:41.445,6613.8132,20.0012,1,3,-1.6999,3.9629,-6.7364,0.6514,0.5343,2.7207,2.1374,0.5343,0.0000,,-0.0011,,,
6620,	05/13/2026 17:29:42.444,6614.8121,21.0001,1,3,-1.6998,3.9620,-6.7346,0.6514,0.5347,2.7207,2.1392,0.5347,0.0000,,,,,
6621,	05/13/2026 17:29:43.444,6615.8124,22.0004,1,3,-1.6998,3.9613,-6.7334,0.6514,0.5352,2.7207,2.1411,0.5352,0.0000,,,,,
6622,	05/13/2026 17:29:44.446,6616.8137,23.0017,1,3,-1.6999,3.9604,-6.7321,0.6514,0.5357,2.7207,2.1430,0.5357,0.0000,,,,,
6623,	05/13/2026 17:29:45.444,6617.8121,24.0001,1,3,-1.6999,3.9596,-6.7311,0.6514,0.5362,2.7207,2.1448,0.5362,0.0000,,-0.0009,,,
6624,	05/13/2026 17:29:46.445,6618.8130,25.0010,1,3,-1.7000,3.9588,-6.7300,0.6514,0.5366,2.7207,2.1467,0.5366,0.0000,,,,,
6625,	05/13/2026 17:29:47.444,6619.8123,26.0003,1,3,-1.6998,3.9581,-6.7278,0.6514,0.5371,2.7207,2.1486,0.5371,0.0000,,,,,
6626,	05/13/2026 17:29:48.445,6620.8128,27.0008,1,3,-1.6998,3.9572,-6.7264,0.6514,0.5376,2.7207,2.1505,0.5376,0.0000,,-0.0009,,,
6627,	05/13/2026 17:29:49.444,6621.8121,28.0001,1,3,-1.6997,3.9565,-6.7248,0.6514,0.5381,2.7207,2.1523,0.5381,0.0000,,,,,
6628,	05/13/2026 17:29:50.444,6622.8124,29.0004,1,3,-1.6998,3.9558,-6.7240,0.6514,0.5385,2.7207,2.1542,0.5385,0.0000,,,,0.5456,2.1601
6629,	05/13/2026 17:29:51.445,6623.8131,30.0011,1,3,-1.6999,3.9552,-6.7235,0.6514,0.5390,2.7207,2.1561,0.5390,0.0000,,,,,
6630,	05/13/2026 17:29:52.445,6624.8132,31.0012,1,3,-1.6998,3.9544,-6.7216,0.6514,0.5395,2.7207,2.1579,0.5395,0.0000,,-0.0007,,,
6631,	05/13/2026 17:29:53.445,6625.8130,32.0010,1,3,-1.6999,3.9537,-6.7208,0.6514,0.5399,2.7207,2.1598,0.5399,0.0000,,,,,
6632,	05/13/2026 17:29:54.445,6626.8127,33.0007,1,3,-1.6999,3.9530,-6.7196,0.6514,0.5404,2.7207,2.1617,0.5404,0.0000,,,,,
6633,	05/13/2026 17:29:55.445,6627.8130,34.0010,1,3,-1.6998,3.9525,-6.7183,0.6514,0.5409,2.7207,2.1635,0.5409,0.0000,,,,,
6634,	05/13/2026 17:29:56.446,6628.8138,35.0018,1,3,-1.6998,3.9518,-6.7174,0.6514,0.5414,2.7207,2.1654,0.5414,0.0000,,-0.0007,,,
6635,	05/13/2026 17:29:57.445,6629.8130,36.0010,1,3,-1.6999,3.9513,-6.7166,0.6514,0.5418,2.7207,2.1672,0.5418,0.0000,,,,,
6636,	05/13/2026 17:29:58.444,6630.8121,37.0001,1,3,-1.6997,3.9507,-6.7151,0.6514,0.5423,2.7207,2.1691,0.5423,0.0000,,,,,
6637,	05/13/2026 17:29:59.444,6631.8121,38.0001,1,3,-1.6998,3.9502,-6.7145,0.6514,0.5428,2.7207,2.1710,0.5428,0.0000,,,,,
6638,	05/13/2026 17:30:00.445,6632.8130,39.0010,1,3,-1.6998,3.9498,-6.7137,0.6514,0.5432,2.7207,2.1728,0.5432,0.0000,,,,,
6639,	05/13/2026 17:30:01.444,6633.8121,40.0001,1,3,-1.6998,3.9492,-6.7130,0.6514,0.5437,2.7207,2.1747,0.5437,0.0000,,-0.0005,,,
6640,	05/13/2026 17:30:02.444,6634.8121,41.0001,1,3,-1.6999,3.9488,-6.7123,0.6514,0.5442,2.7207,2.1766,0.5442,0.0000,,,,,
6641,	05/13/2026 17:30:03.444,6635.8121,42.0001,1,3,-1.6998,3.9484,-6.7114,0.6514,0.5447,2.7207,2.1784,0.5447,0.0000,,,,,
6642,	05/13/2026 17:30:04.444,6636.8122,43.0002,1,3,-1.6999,3.9479,-6.7111,0.6514,0.5451,2.7207,2.1803,0.5451,0.0000,,,,,
6643,	05/13/2026 17:30:05.444,6637.8122,44.0002,1,3,-1.6999,3.9475,-6.7102,0.6514,0.5456,2.7207,2.1822,0.5456,0.0000,,,,,
6644,	05/13/2026 17:30:06.446,6638.8135,45.0015,1,3,-1.6998,3.9470,-6.7091,0.6514,0.5461,2.7207,2.1840,0.5461,0.0000,,-0.0005,,,
6645,	05/13/2026 17:30:07.446,6639.8135,46.0015,1,3,-1.6998,3.9465,-6.7084,0.6514,0.5466,2.7207,2.1859,0.5466,0.0000,,,,,
6646,	05/13/2026 17:30:08.445,6640.8129,47.0009,1,3,-1.6998,3.9461,-6.7076,0.6514,0.5470,2.7207,2.1877,0.5470,0.0000,,,,0.8503,
6647,	05/13/2026 17:30:09.444,6641.8122,48.0002,1,3,-1.6999,3.9457,-6.7075,0.6514,0.5475,2.7207,2.1896,0.5475,0.0000,,,,,
6648,	05/13/2026 17:30:10.445,6642.8127,49.0007,1,3,-1.6999,3.9453,-6.7064,0.6514,0.5480,2.7207,2.1915,0.5480,0.0000,,,,,
6649,	05/13/2026 17:30:11.446,6643.8135,50.0015,1,3,-1.6998,3.9448,-6.7052,0.6514,0.5484,2.7207,2.1933,0.5484,0.0000,,,,,
6650,	05/13/2026 17:30:12.446,6644.8135,51.0015,1,3,-1.6998,3.9443,-6.7045,0.6514,0.5489,2.7207,2.1952,0.5489,0.0000,,-0.0004,,,
6651,	05/13/2026 17:30:13.445,6645.8127,52.0007,1,3,-1.6998,3.9439,-6.7038,0.6514,0.5494,2.7207,2.1971,0.5494,0.0000,,,,,
6652,	05/13/2026 17:30:14.445,6646.8129,53.0009,1,3,-1.6998,3.9435,-6.7034,0.6514,0.5499,2.7207,2.1989,0.5499,0.0000,,,,,
6653,	05/13/2026 17:30:15.444,6647.8121,54.0001,1,3,-1.6998,3.9431,-6.7027,0.6514,0.5503,2.7207,2.2008,0.5503,0.0000,,,,,
6654,	05/13/2026 17:30:16.444,6648.8122,55.0002,1,3,-1.6999,3.9428,-6.7022,0.6514,0.5508,2.7207,2.2027,0.5508,0.0000,,,,,
6655,	05/13/2026 17:30:17.446,6649.8137,56.0017,1,3,-1.6998,3.9426,-6.7016,0.6514,0.5513,2.7207,2.2045,0.5513,0.0000,,,,,
6656,	05/13/2026 17:30:18.444,6650.8121,57.0001,1,3,-1.6999,3.9422,-6.7014,0.6514,0.5517,2.7207,2.2064,0.5517,0.0000,,,,,
6657,	05/13/2026 17:30:19.444,6651.8124,58.0004,1,3,-1.6999,3.9418,-6.7007,0.6514,0.5522,2.7207,2.2082,0.5522,0.0000,,-0.0003,,,
6658,	05/13/2026 17:30:20.445,6652.8130,59.0010,1,3,-1.6998,3.9415,-6.6999,0.6514,0.5527,2.7207,2.2101,0.5527,0.0000,,,,,
6659,	05/13/2026 17:30:21.445,6653.8132,60.0012,1,3,-1.6998,3.9413,-6.6995,0.6514,0.5532,2.7207,2.2120,0.5532,0.0000,,,,,
6660,	05/13/2026 17:30:22.444,6654.8122,61.0002,1,3,-1.6999,3.9409,-6.6992,0.6514,0.5536,2.7207,2.2138,0.5536,0.0000,,,,,
6661,	05/13/2026 17:30:23.445,6655.8132,62.0012,1,3,-1.6999,3.9406,-6.6987,0.6514,0.5541,2.7207,2.2157,0.5541,0.0000,,,,,
6662,	05/13/2026 17:30:24.445,6656.8130,63.0010,1,3,-1.6998,3.9404,-6.6979,0.6514,0.5546,2.7207,2.2175,0.5546,0.0000,,,,,
6663,	05/13/2026 17:30:25.444,6657.8120,64.0000,1,3,-1.6998,3.9400,-6.6974,0.6514,0.5550,2.7207,2.2194,0.5550,0.0000,,-0.0004,,,
6664,	05/13/2026 17:30:26.445,6658.8129,65.0009,1,3,-1.6998,3.9397,-6.6968,0.6514,0.5555,2.7207,2.2213,0.5555,0.0000,,,,,
6665,	05/13/2026 17:30:27.446,6659.8140,66.0020,1,3,-1.6999,3.9394,-6.6966,0.6514,0.5560,2.7207,2.2231,0.5560,0.0000,,,,,
6666,	05/13/2026 17:30:28.444,6660.8124,67.0004,1,3,-1.6999,3.9392,-6.6963,0.6514,0.5565,2.7207,2.2250,0.5565,0.0000,,,,,
6667,	05/13/2026 17:30:29.445,6661.8131,68.0011,1,3,-1.6999,3.9389,-6.6957,0.6514,0.5569,2.7207,2.2268,0.5569,0.0000,,,,,
6668,	05/13/2026 17:30:30.445,6662.8127,69.0007,1,3,-1.6999,3.9385,-6.6950,0.6514,0.5574,2.7207,2.2287,0.5574,0.0000,,,,,
6669,	05/13/2026 17:30:31.444,6663.8122,70.0002,1,3,-1.6999,3.9382,-6.6944,0.6514,0.5579,2.7207,2.2306,0.5579,0.0000,,,,,
6670,	05/13/2026 17:30:32.444,6664.8123,71.0003,1,3,-1.6998,3.9379,-6.6934,0.6514,0.5584,2.7207,2.2324,0.5584,0.0000,,-0.0003,,,
6671,	05/13/2026 17:30:33.444,6665.8120,72.0000,1,3,-1.6997,3.9375,-6.6927,0.6514,0.5588,2.7207,2.2343,0.5588,0.0000,,,,,
6672,	05/13/2026 17:30:34.446,6666.8135,73.0015,1,3,-1.6998,3.9373,-6.6925,0.6514,0.5593,2.7207,2.2361,0.5593,0.0000,,,,,
6673,	05/13/2026 17:30:35.444,6667.8122,74.0002,1,3,-1.6997,3.9371,-6.6920,0.6514,0.5598,2.7207,2.2380,0.5598,0.0000,,,,,
6674,	05/13/2026 17:30:36.445,6668.8126,75.0006,1,3,-1.6998,3.9368,-6.6917,0.6514,0.5602,2.7207,2.2399,0.5602,0.0000,,,,,
6675,	05/13/2026 17:30:37.445,6669.8133,76.0013,1,3,-1.6999,3.9365,-6.6915,0.6514,0.5607,2.7207,2.2417,0.5607,0.0000,,,,,
6676,	05/13/2026 17:30:38.445,6670.8130,77.0010,1,3,-1.6998,3.9363,-6.6910,0.6514,0.5612,2.7207,2.2436,0.5612,0.0000,,,,,
6677,	05/13/2026 17:30:39.446,6671.8138,78.0018,1,3,-1.6998,3.9359,-6.6904,0.6514,0.5617,2.7207,2.2454,0.5617,0.0000,,,,1.4562,0.8669
6678,	05/13/2026 17:30:40.446,6672.8140,79.0020,1,3,-1.6997,3.9358,-6.6897,0.6514,0.5621,2.7207,2.2473,0.5621,0.0000,,-0.0003,,,
6679,	05/13/2026 17:30:41.445,6673.8125,80.0005,1,3,-1.6999,3.9357,-6.6902,0.6514,0.5626,2.7207,2.2491,0.5626,0.0000,,,,,
6680,	05/13/2026 17:30:42.446,6674.8135,81.0015,1,3,-1.7000,3.9354,-6.6900,0.6514,0.5631,2.7207,2.2510,0.5631,0.0000,,,,,
6681,	05/13/2026 17:30:43.445,6675.8129,82.0009,1,3,-1.6998,3.9351,-6.6889,0.6514,0.5635,2.7207,2.2529,0.5635,0.0000,,,,,
6682,	05/13/2026 17:30:44.444,6676.8124,83.0004,1,3,-1.6999,3.9349,-6.6887,0.6514,0.5640,2.7207,2.2547,0.5640,0.0000,,,,,
6683,	05/13/2026 17:30:45.445,6677.8133,84.0013,1,3,-1.6998,3.9347,-6.6881,0.6514,0.5645,2.7207,2.2566,0.5645,0.0000,,,,,
6684,	05/13/2026 17:30:46.445,6678.8125,85.0005,1,3,-1.6998,3.9344,-6.6879,0.6514,0.5650,2.7207,2.2584,0.5650,0.0000,,,,,
6685,	05/13/2026 17:30:47.445,6679.8130,86.0010,1,3,-1.6999,3.9342,-6.6877,0.6514,0.5654,2.7207,2.2603,0.5654,0.0000,,,,,
6686,	05/13/2026 17:30:48.444,6680.8123,87.0003,1,3,-1.6998,3.9338,-6.6867,0.6514,0.5659,2.7207,2.2621,0.5659,0.0000,,,,,
6687,	05/13/2026 17:30:49.445,6681.8125,88.0005,1,3,-1.6999,3.9336,-6.6865,0.6514,0.5664,2.7207,2.2640,0.5664,0.0000,,-0.0003,,,
6688,	05/13/2026 17:30:50.445,6682.8129,89.0009,1,3,-1.6997,3.9333,-6.6855,0.6514,0.5668,2.7207,2.2659,0.5668,0.0000,,,,,
6689,	05/13/2026 17:30:51.445,6683.8131,90.0011,1,3,-1.6999,3.9330,-6.6857,0.6514,0.5673,2.7207,2.2677,0.5673,0.0000,,,,,
6690,	05/13/2026 17:30:52.445,6684.8131,91.0011,1,3,-1.6998,3.9328,-6.6851,0.6514,0.5678,2.7207,2.2696,0.5678,0.0000,,,,,
6691,	05/13/2026 17:30:53.445,6685.8134,92.0014,1,3,-1.6997,3.9327,-6.6845,0.6514,0.5683,2.7207,2.2714,0.5683,0.0000,,,,,
6692,	05/13/2026 17:30:54.446,6686.8135,93.0015,1,3,-1.6998,3.9324,-6.6844,0.6514,0.5687,2.7207,2.2733,0.5687,0.0000,,,,,
6693,	05/13/2026 17:30:55.444,6687.8124,94.0004,1,3,-1.6998,3.9322,-6.6841,0.6514,0.5692,2.7207,2.2751,0.5692,0.0000,,,,,
6694,	05/13/2026 17:30:56.445,6688.8132,95.0012,1,3,-1.6998,3.9320,-6.6838,0.6514,0.5697,2.7207,2.2770,0.5697,0.0000,,,,,
6695,	05/13/2026 17:30:57.445,6689.8132,96.0012,1,3,-1.6999,3.9318,-6.6835,0.6514,0.5702,2.7207,2.2789,0.5702,0.0000,,,,,
6696,	05/13/2026 17:30:58.446,6690.8135,97.0015,1,3,-1.6998,3.9317,-6.6831,0.6514,0.5706,2.7207,2.2807,0.5706,0.0000,,-0.0002,,,
6697,	05/13/2026 17:30:59.445,6691.8127,98.0007,1,3,-1.6998,3.9314,-6.6827,0.6514,0.5711,2.7207,2.2826,0.5711,0.0000,,,,,
6698,	05/13/2026 17:31:00.445,6692.8131,99.0011,1,3,-1.6998,3.9313,-6.6822,0.6514,0.5716,2.7207,2.2844,0.5716,0.0000,,,,,
6699,	05/13/2026 17:31:01.444,6693.8124,100.0004,1,3,-1.6999,3.9309,-6.6821,0.6514,0.5720,2.7207,2.2863,0.5720,0.0000,,,,,
6700,	05/13/2026 17:31:02.445,6694.8130,101.0010,1,3,-1.6999,3.9307,-6.6819,0.6514,0.5725,2.7207,2.2881,0.5725,0.0000,,,,,
6701,	05/13/2026 17:31:03.444,6695.8123,102.0003,1,3,-1.6998,3.9306,-6.6814,0.6514,0.5730,2.7207,2.2900,0.5730,0.0000,,,,,
6702,	05/13/2026 17:31:04.445,6696.8126,103.0006,1,3,-1.6997,3.9303,-6.6803,0.6514,0.5735,2.7207,2.2918,0.5735,0.0000,,,,,
6703,	05/13/2026 17:31:05.446,6697.8139,104.0019,1,3,-1.6998,3.9300,-6.6803,0.6514,0.5739,2.7207,2.2937,0.5739,0.0000,,,,,
6704,	05/13/2026 17:31:06.445,6698.8128,105.0008,1,3,-1.6997,3.9297,-6.6793,0.6514,0.5744,2.7207,2.2956,0.5744,0.0000,,,,,
6705,	05/13/2026 17:31:07.446,6699.8135,106.0015,1,3,-1.6997,3.9295,-6.6790,0.6514,0.5749,2.7207,2.2974,0.5749,0.0000,,,,,
6706,	05/13/2026 17:31:08.444,6700.8121,107.0001,1,3,-1.6997,3.9293,-6.6787,0.6514,0.5753,2.7207,2.2993,0.5753,0.0000,,-0.0002,,,
6707,	05/13/2026 17:31:09.445,6701.8125,108.0005,1,3,-1.6998,3.9291,-6.6786,0.6514,0.5758,2.7207,2.3011,0.5758,0.0000,,,,,
6708,	05/13/2026 17:31:10.446,6702.8136,109.0016,1,3,-1.6998,3.9289,-6.6783,0.6514,0.5763,2.7207,2.3030,0.5763,0.0000,,,,,
6709,	05/13/2026 17:31:11.444,6703.8121,110.0001,1,3,-1.6998,3.9286,-6.6779,0.6514,0.5768,2.7207,2.3048,0.5768,0.0000,,,,,
6710,	05/13/2026 17:31:12.445,6704.8129,111.0009,1,3,-1.6999,3.9284,-6.6780,0.6514,0.5772,2.7207,2.3067,0.5772,0.0000,,,,,
6711,	05/13/2026 17:31:13.446,6705.8136,112.0016,1,3,-1.6999,3.9282,-6.6774,0.6514,0.5777,2.7207,2.3085,0.5777,0.0000,,,,,
6712,	05/13/2026 17:31:14.446,6706.8137,113.0017,1,3,-1.6998,3.9281,-6.6771,0.6514,0.5782,2.7207,2.3104,0.5782,0.0000,,,,,
6713,	05/13/2026 17:31:15.444,6707.8122,114.0002,1,3,-1.6998,3.9279,-6.6767,0.6514,0.5787,2.7207,2.3122,0.5787,0.0000,,,,,
6714,	05/13/2026 17:31:16.444,6708.8123,115.0003,1,3,-1.6998,3.9277,-6.6765,0.6514,0.5791,2.7207,2.3141,0.5791,0.0000,,,,,
6715,	05/13/2026 17:31:17.445,6709.8134,116.0014,1,3,-1.6999,3.9275,-6.6763,0.6514,0.5796,2.7207,2.3159,0.5796,0.0000,,,,,
6716,	05/13/2026 17:31:18.446,6710.8136,117.0016,1,3,-1.6998,3.9273,-6.6758,0.6514,0.5801,2.7207,2.3178,0.5801,0.0000,,-0.0002,,,
6717,	05/13/2026 17:31:19.445,6711.8129,118.0009,1,3,-1.6998,3.9271,-6.6755,0.6514,0.5805,2.7207,2.3197,0.5805,0.0000,,,,,
6718,	05/13/2026 17:31:20.444,6712.8124,119.0004,1,3,-1.6999,3.9269,-6.6752,0.6514,0.5810,2.7207,2.3215,0.5810,0.0000,,,,,
6719,	05/13/2026 17:31:21.444,6713.8124,120.0004,1,3,-1.6999,3.9267,-6.6750,0.6514,0.5815,2.7207,2.3234,0.5815,0.0000,,,,,
6720,	05/13/2026 17:31:22.445,6714.8127,121.0007,1,3,-1.6999,3.9264,-6.6743,0.6514,0.5820,2.7207,2.3252,0.5820,0.0000,,,,,
6721,	05/13/2026 17:31:23.446,6715.8135,122.0015,1,3,-1.6999,3.9261,-6.6740,0.6514,0.5824,2.7207,2.3271,0.5824,0.0000,,,,2.0881,
6722,	05/13/2026 17:31:24.444,6716.8124,123.0004,1,3,-1.6997,3.9259,-6.6730,0.6514,0.5829,2.7207,2.3289,0.5829,0.0000,,,,,
6723,	05/13/2026 17:31:25.445,6717.8126,124.0006,1,3,-1.7000,3.9257,-6.6737,0.6514,0.5834,2.7207,2.3308,0.5834,0.0000,,,,,
6724,	05/13/2026 17:31:26.445,6718.8128,125.0008,1,3,-1.6998,3.9254,-6.6724,0.6514,0.5838,2.7207,2.3326,0.5838,0.0000,,,,,
6725,	05/13/2026 17:31:27.446,6719.8139,126.0019,1,3,-1.6998,3.9253,-6.6724,0.6514,0.5843,2.7207,2.3345,0.5843,0.0000,,-0.0002,,,
6726,	05/13/2026 17:31:28.446,6720.8138,127.0018,1,3,-1.6998,3.9251,-6.6718,0.6514,0.5848,2.7207,2.3363,0.5848,0.0000,,,,,
6727,	05/13/2026 17:31:29.446,6721.8135,128.0015,1,3,-1.7000,3.9249,-6.6722,0.6514,0.5853,2.7207,2.3382,0.5853,0.0000,,,,,
6728,	05/13/2026 17:31:30.445,6722.8127,129.0007,1,3,-1.6999,3.9247,-6.6714,0.6514,0.5857,2.7207,2.3400,0.5857,0.0000,,,,,
6729,	05/13/2026 17:31:31.446,6723.8136,130.0016,1,3,-1.6998,3.9246,-6.6709,0.6514,0.5862,2.7207,2.3419,0.5862,0.0000,,,,,
6730,	05/13/2026 17:31:32.446,6724.8135,131.0015,1,3,-1.6998,3.9243,-6.6705,0.6514,0.5867,2.7207,2.3438,0.5867,0.0000,,,,,
6731,	05/13/2026 17:31:33.445,6725.8129,132.0009,1,3,-1.6999,3.9242,-6.6706,0.6514,0.5871,2.7207,2.3456,0.5871,0.0000,,,,,
6732,	05/13/2026 17:31:34.446,6726.8135,133.0015,1,3,-1.6998,3.9240,-6.6699,0.6514,0.5876,2.7207,2.3475,0.5876,0.0000,,,,,
6733,	05/13/2026 17:31:35.445,6727.8130,134.0010,1,3,-1.6998,3.9238,-6.6697,0.6514,0.5881,2.7207,2.3493,0.5881,0.0000,,,,,
6734,	05/13/2026 17:31:36.445,6728.8127,135.0007,1,3,-1.7000,3.9237,-6.6702,0.6514,0.5886,2.7207,2.3512,0.5886,0.0000,,,,,
6735,	05/13/2026 17:31:37.446,6729.8136,136.0016,1,3,-1.6998,3.9234,-6.6690,0.6514,0.5890,2.7207,2.3530,0.5890,0.0000,,-0.0002,,,
6736,	05/13/2026 17:31:38.445,6730.8127,137.0007,1,3,-1.6999,3.9232,-6.6689,0.6514,0.5895,2.7207,2.3549,0.5895,0.0000,,,,,
6737,	05/13/2026 17:31:39.446,6731.8137,138.0017,1,3,-1.6999,3.9231,-6.6689,0.6514,0.5900,2.7207,2.3567,0.5900,0.0000,,,,,
6738,	05/13/2026 17:31:40.446,6732.8136,139.0016,1,3,-1.7000,3.9227,-6.6684,0.6514,0.5905,2.7207,2.3586,0.5905,0.0000,,,,,
6739,	05/13/2026 17:31:41.444,6733.8120,140.0000,1,3,-1.6997,3.9224,-6.6671,0.6514,0.5909,2.7207,2.3604,0.5909,0.0000,,,,,
6740,	05/13/2026 17:31:42.445,6734.8128,141.0008,1,3,-1.6997,3.9222,-6.6667,0.6514,0.5914,2.7207,2.3623,0.5914,0.0000,,,,,
6741,	05/13/2026 17:31:43.446,6735.8136,142.0016,1,3,-1.6998,3.9220,-6.6668,0.6514,0.5919,2.7207,2.3641,0.5919,0.0000,,,,,
6742,	05/13/2026 17:31:44.446,6736.8135,143.0015,1,3,-1.6998,3.9218,-6.6665,0.6514,0.5923,2.7207,2.3660,0.5923,0.0000,,,,,
6743,	05/13/2026 17:31:45.446,6737.8137,144.0017,1,3,-1.6998,3.9216,-6.6659,0.6514,0.5928,2.7207,2.3678,0.5928,0.0000,,,,,
6744,	05/13/2026 17:31:46.445,6738.8128,145.0008,1,3,-1.7000,3.9214,-6.6663,0.6514,0.5933,2.7207,2.3697,0.5933,0.0000,,,,,
6745,	05/13/2026 17:31:47.445,6739.8127,146.0007,1,3,-1.6998,3.9212,-6.6654,0.6514,0.5938,2.7207,2.3715,0.5938,0.0000,,-0.0002,,,
6746,	05/13/2026 17:31:48.445,6740.8126,147.0006,1,3,-1.6998,3.9210,-6.6650,0.6514,0.5942,2.7207,2.3734,0.5942,0.0000,,,,,
6747,	05/13/2026 17:31:49.445,6741.8128,148.0008,1,3,-1.6998,3.9209,-6.6648,0.6514,0.5947,2.7207,2.3752,0.5947,0.0000,,,,,
6748,	05/13/2026 17:31:50.445,6742.8127,149.0007,1,3,-1.6998,3.9207,-6.6646,0.6514,0.5952,2.7207,2.3771,0.5952,0.0000,,,,,
6749,	05/13/2026 17:31:51.445,6743.8129,150.0009,1,3,-1.6999,3.9205,-6.6646,0.6514,0.5956,2.7207,2.3789,0.5956,0.0000,,,,,
6750,	05/13/2026 17:31:52.446,6744.8135,151.0015,1,3,-1.6998,3.9204,-6.6640,0.6514,0.5961,2.7207,2.3808,0.5961,0.0000,,,,,
6751,	05/13/2026 17:31:53.446,6745.8136,152.0016,1,3,-1.6998,3.9202,-6.6634,0.6514,0.5966,2.7207,2.3826,0.5966,0.0000,,,,,
6752,	05/13/2026 17:31:54.445,6746.8126,153.0006,1,3,-1.6999,3.9200,-6.6634,0.6514,0.5971,2.7207,2.3845,0.5971,0.0000,,,,,
6753,	05/13/2026 17:31:55.445,6747.8126,154.0006,1,3,-1.6997,3.9198,-6.6624,0.6514,0.5975,2.7207,2.3863,0.5975,0.0000,,,,,
6754,	05/13/2026 17:31:56.446,6748.8137,155.0017,1,3,-1.6996,3.9196,-6.6616,0.6514,0.5980,2.7207,2.3882,0.5980,0.0000,,-0.0002,,,
6755,	05/13/2026 17:31:57.446,6749.8136,156.0016,1,3,-1.6994,3.9194,-6.6608,0.6514,0.5985,2.7207,2.3900,0.5985,0.0000,,,,,
6756,	05/13/2026 17:31:58.445,6750.8128,157.0008,1,3,-1.6994,3.9191,-6.6601,0.6514,0.5990,2.7207,2.3919,0.5990,0.0000,,,,,
6757,	05/13/2026 17:31:59.444,6751.8121,158.0001,1,3,-1.6994,3.9189,-6.6597,0.6514,0.5994,2.7207,2.3937,0.5994,0.0000,,,,,
6758,	05/13/2026 17:32:00.444,6752.8120,159.0000,1,3,-1.6995,3.9186,-6.6597,0.6514,0.5999,2.7207,2.3956,0.5999,0.0000,,,,,
6759,	05/13/2026 17:32:01.445,6753.8127,160.0007,1,3,-1.6994,3.9185,-6.6590,0.6514,0.6004,2.7207,2.3974,0.6004,0.0000,,,,,
6760,	05/13/2026 17:32:02.445,6754.8130,161.0010,1,3,-1.6994,3.9183,-6.6588,0.6514,0.6008,2.7207,2.3993,0.6008,0.0000,,,,,
6761,	05/13/2026 17:32:03.446,6755.8136,162.0016,1,3,-1.6994,3.9180,-6.6580,0.6514,0.6013,2.7207,2.4011,0.6013,0.0000,,,,,
6762,	05/13/2026 17:32:04.445,6756.8128,163.0008,1,3,-1.6994,3.9179,-6.6580,0.6514,0.6018,2.7207,2.4030,0.6018,0.0000,,,,,
6763,	05/13/2026 17:32:05.446,6757.8136,164.0016,1,3,-1.6993,3.9176,-6.6572,0.6514,0.6023,2.7207,2.4048,0.6023,0.0000,,,,,
6764,	05/13/2026 17:32:06.445,6758.8127,165.0007,1,3,-1.6993,3.9175,-6.6571,0.6514,0.6027,2.7207,2.4067,0.6027,0.0000,,,,,
6765,	05/13/2026 17:32:07.444,6759.8122,166.0002,1,3,-1.6993,3.9173,-6.6568,0.6514,0.6032,2.7207,2.4085,0.6032,0.0000,,-0.0002,,,
6766,	05/13/2026 17:32:08.445,6760.8125,167.0005,1,3,-1.6994,3.9171,-6.6569,0.6514,0.6037,2.7207,2.4104,0.6037,0.0000,,,,,
6767,	05/13/2026 17:32:09.446,6761.8138,168.0018,1,3,-1.6994,3.9171,-6.6566,0.6514,0.6041,2.7207,2.4122,0.6041,0.0000,,,,,
6768,	05/13/2026 17:32:10.445,6762.8127,169.0007,1,3,-1.6995,3.9169,-6.6569,0.6514,0.6046,2.7207,2.4141,0.6046,0.0000,,,,,
6769,	05/13/2026 17:32:11.444,6763.8122,170.0002,1,3,-1.6994,3.9166,-6.6560,0.6514,0.6051,2.7207,2.4159,0.6051,0.0000,,,,,
6770,	05/13/2026 17:32:12.446,6764.8138,171.0018,1,3,-1.6993,3.9165,-6.6556,0.6514,0.6056,2.7207,2.4178,0.6056,0.0000,,,,,
6771,	05/13/2026 17:32:13.445,6765.8128,172.0008,1,3,-1.6994,3.9164,-6.6556,0.6514,0.6060,2.7207,2.4196,0.6060,0.0000,,,,2.3644,0.4489
6772,	05/13/2026 17:32:14.445,6766.8128,173.0008,1,3,-1.6994,3.9162,-6.6552,0.6514,0.6065,2.7207,2.4215,0.6065,0.0000,,,,,
6773,	05/13/2026 17:32:15.444,6767.8122,174.0002,1,3,-1.6995,3.9160,-6.6550,0.6514,0.6070,2.7207,2.4233,0.6070,0.0000,,,,,
6774,	05/13/2026 17:32:16.445,6768.8126,175.0006,1,3,-1.6994,3.9157,-6.6543,0.6514,0.6074,2.7207,2.4252,0.6074,0.0000,,,,,
6775,	05/13/2026 17:32:17.446,6769.8136,176.0016,1,3,-1.6994,3.9155,-6.6539,0.6514,0.6079,2.7207,2.4270,0.6079,0.0000,,-0.0002,,,
6776,	05/13/2026 17:32:18.446,6770.8136,177.0016,1,3,-1.6995,3.9152,-6.6538,0.6514,0.6084,2.7207,2.4289,0.6084,0.0000,,,,,
